super_bowl,avg_us_viewers
52,103390000
51,111319000
50,111864000
49,114442000
48,112191000
47,108693000
46,111346000
45,111041000
44,106476000
43,98732000
42,97448000
41,93184000
40,90745000
39,86072000
38,89795000
37,88637000
36,86801000
35,84335000
34,88465000
33,83720000
32,90000000
31,87870000
30,94080000
29,83420000
28,90000000
27,90990000
26,79590000
25,79510000
24,73852000
23,81590000
22,80140000
21,87190000
20,92570000
19,85530000
18,77620000
17,81770000
16,85240000
15,68290000
14,76240000
13,74740000
12,78940000
11,62050000
10,57710000
9,56050000
8,51700000
7,53320000
6,56640000
5,46040000
4,44270000
3,41660000
2,39120000
